"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language","consumer_usage_tier"
"1","3000","Global","Fruits","APPLES","Alkmene","All Sizes","","","","Malus domestica","","Approved","http://","","Netsetters Admin","2024-02-02 19:50:24","1999-12-30 23:00:00","","EN","Low"
"2","3001","Global","Fruits","APPLES","Aurora/Southern Rose","Small","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2024-02-02 19:50:51","1999-12-30 23:00:00","","EN","Low"
"3","3002","Global","Fruits","APPLES","Cantared","All Sizes","","","","Malus domestica","","Approved","http://","","Wendy Logan","2024-02-08 16:08:54","1999-12-30 23:00:00","","EN","Low"
"4","3003","Global","Fruits","APPLES","D'Estivale"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"5","3004","Global","Fruits","APPLES","Discovery","     All Sizes     ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"6","3005","Global","Fruits","APPLES","Golden Delicious Blush"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"7","3006","Global","Fruits","APPLES","Ingrid Marie","  All Sizes  ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"8","3007","Global","Fruits","APPLES","Lochbuie"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"9","3008","Global","Fruits","APPLES","Rubinette"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"10","3009","Global","Fruits","APPLES","Russet"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"11","3010","Global","Fruits","APPLES","Cripps Red"," Small  ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","Sundowner","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"12","3011","Global","Fruits","APPLES","Worcester"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"13","3012","Global","Fruits","PEARS","Abate Fetel","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"14","3013","Global","Fruits","PEARS","Beurre Hardy","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"15","3014","Global","Fruits","PEARS","Bon Rouge","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"16","3015","Global","Fruits","PEARS","Clara Friis","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"17","3016","Global","Fruits","PEARS","Concorde","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"18","3017","Global","Fruits","PEARS","Conference","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","High"
"19","3018","Global","Fruits","PEARS","Durondeau","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"20","3019","Global","Fruits","PEARS","Flamingo","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"21","3020","Global","Fruits","PEARS","General Leclerc","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"22","3021","Global","Fruits","PEARS","Guyot","All Sizes","","","","Pyrus spp.","","Approved","","","Netsetters Admin","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"23","3022","Global","Fruits","PEARS","Josephine","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"24","3023","Global","Fruits","PEARS","Passe Crassane","Small","110 size and smaller","Average Fruit Weight = less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"25","3024","Global","Fruits","PEARS","Rocha","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"26","3025","Global","Fruits","PEARS","Rosemarie","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"27","3026","Global","Fruits","PEARS","Triumph de Vienne","All Sizes","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"28","3027","Global","Fruits","ORANGES","Shamouti","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"29","3028","Global","Fruits","ORANGES","Delta Seedless","Small","113 and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
"30","3029","Global","Fruits","TANGERINES/MANDARINS","Satsuma","All Sizes","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Citrus unshiu","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","High"
"31","3030","Global","Fruits","TANGERINES/MANDARINS","Nova (includes Clemenvilla, Suntina)","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Medium"
"32","3031","Global","Fruits","TANGERINES/MANDARINS","Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline)","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:54","1999-12-30 23:00:00","","EN","Low"
